S	I	R	Total	Time
12062.7718315	6.83181578386	1.39638672959	12071.0000341	21.0

12057.4350619	11.2835344731	2.28586529796	12071.0044617	22.0

12054.9405551	13.3207653921	2.73874564547	12071.0000661	22.0

12044.5463734	21.9896509319	4.47261915474	12071.0086435	23.0

12039.2984424	26.2448497665	5.45683689262	12071.000129	23.0

12018.8648635	43.2807399527	8.87120721817	12071.0168106	24.0

12008.9349571	51.2159861383	10.8493040465	12071.0002472	24.0

11969.2302713	84.2959624163	17.5057516833	12071.0319854	25.0

11952.8180821	97.1015960373	21.0807747404	12071.0004529	25.0

11878.1357258	159.244184355	33.6779108625	12071.057821	26.0

11854.3185763	177.205418241	39.4767821031	12071.0007767	26.0

11719.9129248	288.791007218	62.3928087739	12071.0967408	27.0

11689.0085231	311.021583471	70.9711128706	12071.0012195	27.0

11458.5732264	501.592700414	110.97915386	12071.1450807	28.0

11422.7652316	525.505444978	122.73100621	12071.0016828	28.0

11047.9224056	833.500659861	189.759516493	12071.1825819	29.0

11012.1542228	854.094622366	204.752995068	12071.0018402	29.0

10437.8990211	1320.95468748	312.303271345	12071.1569799	30.0

10409.629072	1331.27939777	330.092527879	12071.0009976	30.0

9590.12703136	1986.17653751	494.673545532	12070.9771144	31.0

9576.75536684	1979.96845054	514.274330819	12070.9981482	31.0

8501.79447296	2815.66151085	753.090046752	12070.5460306	32.0

8506.56493694	2791.16133541	773.266295215	12070.9925676	32.0

7227.52036945	3742.4997399	1099.83477589	12069.8548852	33.0

7246.82321066	3704.54238665	1119.61931677	12070.9849141	33.0

5878.99751659	4651.59412778	1538.48111574	12069.0727601	34.0

5904.00714374	4609.37145364	1557.59907307	12070.9776704	34.0

4590.70118206	5416.81808918	2060.9697035	12068.4889747	35.0

4612.69853869	5378.45425279	2079.82086411	12070.9736556	35.0

3470.32862368	5949.26516842	2648.70950635	12068.3032984	36.0

3485.01096917	5918.03228734	2667.93057533	12070.9738318	36.0

2568.90420531	6222.29814429	3277.28891553	12068.4912651	37.0

2576.48214899	6197.2065256	3297.28831092	12070.9769855	37.0

1884.31778586	6262.46890186	3922.094019	12068.8807067	38.0

1887.0733884	6241.03326356	3942.87456041	12070.9812124	38.0

1383.71398273	6123.28223876	4562.30714895	12069.3033704	39.0

1383.94424457	6103.48446164	4583.55647688	12070.9851831	39.0

1025.19828508	5861.9508621	5182.51846718	12069.6676144	40.0

1024.451616	5842.74939826	5203.7873571	12070.9883714	40.0

770.437714006	5526.94294428	5772.56797817	12069.9486365	41.0

769.542803624	5508.03594551	5793.41200005	12070.9907492	41.0

589.154059571	5154.43797867	6326.56303643	12070.1550747	42.0

588.470502797	5135.90511264	6346.61686116	12070.9924766	42.0

459.195357508	4769.37228186	6841.73739805	12070.3050374	43.0

458.832232834	4751.42396452	6860.73753862	12070.993736	43.0

364.993253333	4387.95990425	7317.46221279	12070.4153704	44.0

364.945440956	4370.80768759	7335.24154563	12070.9946742	44.0

