S	I	R	Total	Time
4321.21771277	3761.89555759	1672.88811824	9756.0013886	24.0

4145.32034542	3834.15576669	1777.51276487	9756.98887697	24.0

3390.09854793	4186.02376051	2179.70230515	9755.8246136	25.0

3250.00830508	4220.86889393	2286.11094961	9756.98814861	25.0

2616.72723507	4419.78296988	2719.30671004	9755.81691499	26.0

2509.57474771	4423.8819673	2823.53211236	9756.98882736	26.0

2007.41140866	4478.88919367	3269.62356054	9755.92416287	27.0

1927.38909129	4460.81197056	3368.78916586	9756.99022771	27.0

1543.466767	4400.10476864	3812.50587683	9756.07741248	28.0

1484.32398379	4367.85795695	3904.80983406	9756.9917748	28.0

1196.79035805	4224.60370332	4334.83559299	9756.22965436	29.0

1153.08839109	4184.54847743	4419.3562961	9756.99316463	29.0

939.615757234	3988.54669766	4828.19767644	9756.36013134	30.0

907.096417686	3945.24390822	4904.65397645	9756.99430236	30.0

748.678694519	3719.84808839	5287.93797734	9756.46476025	31.0

724.19291053	3676.32771689	5356.47457137	9756.99519878	31.0

606.043154395	3438.37086559	5712.13268982	9756.54670981	32.0

587.331502815	3396.51019185	5773.15420537	9756.99590004	32.0

498.477695361	3157.42608166	6100.70720125	9756.61097828	33.0

483.941970047	3118.29410659	6154.76037776	9756.99645439	33.0

416.436171702	2885.4605083	6454.76545257	9756.66213257	34.0

404.950717776	2849.58602461	6502.46015863	9756.99690102	34.0

353.09403195	2627.49743825	6776.11222649	9756.70369669	35.0

343.864484486	2595.06184584	6818.07093837	9756.99726869	35.0

303.577674474	2386.23345102	7066.92707153	9756.73819703	36.0

296.040189142	2357.20329761	7103.75409083	9756.99757758	36.0

264.393039314	2162.82561374	7329.54873624	9756.7673893	37.0

258.14412074	2137.04109946	7361.81262141	9756.99784161	37.0

233.017529035	1957.43812822	7566.33682806	9756.79248532	38.0

227.765680797	1934.67094985	7594.56143977	9756.99807042	38.0

207.6137974	1769.61444807	7779.58608363	9756.8143291	39.0

203.146291359	1749.60487024	7804.24710922	9756.99827081	39.0

186.830424018	1598.5272226	7971.47587394	9756.83352055	40.0

182.990404107	1581.00730547	7993.00073812	9756.99844769	40.0

169.663159667	1443.14435579	8144.04298244	9756.85049789	41.0

166.333776799	1427.85206023	8162.81276767	9756.9986047	41.0

155.357982644	1302.33807022	8299.16953864	9756.8655915	42.0

152.451317192	1289.02540735	8315.52202011	9756.99874464	42.0

143.342945727	1174.95546901	8438.58064378	9756.87905851	43.0

140.792203872	1163.39280083	8452.81386504	9756.99886974	43.0

133.179889483	1059.86318282	8563.84803286	9756.89110516	44.0

130.933852868	1049.84106849	8576.22406045	9756.99898181	44.0

124.529931793	955.97463055	8676.39733891	9756.90190125	45.0

122.548970377	947.304138314	8687.14597366	9756.99908235	45.0

117.12857497	862.26566566	8777.51734902	9756.91158965	46.0

115.381753928	854.777755396	8786.83966333	9756.99917265	46.0

110.76758006	777.782516343	8868.37019625	9756.92029265	47.0

109.23053959	771.326888465	8876.44182577	9756.99925383	47.0

105.281643353	701.644668239	8950.00180473	9756.92811632	48.0

103.935029836	696.088335778	8956.97596123	9756.99932684	48.0

100.538511	633.044485948	9023.35215659	9756.93515354	49.0

99.3668053755	628.27023444	9029.36235273	9756.99939255	49.0

96.4315773999	571.244790933	9089.26511792	9756.94148625	50.0

95.422212534	567.149629493	9094.42760968	9756.9994517	50.0

92.8742941554	515.575219321	9148.49767366	9756.94718714	51.0

92.0169845603	512.068885697	9152.91363472	9756.99950498	51.0

89.7959107021	465.427913811	9201.72849635	9756.95232086	52.0

89.0821397972	462.431469475	9205.4859437	9756.99955297	52.0

87.1382030224	420.252919455	9249.56582269	9756.95694517	53.0

86.5608283794	417.697453244	9252.74131459	9756.99959621	53.0

84.8529418059	379.553526487	9292.55464337	9756.96111166	54.0

84.4058895622	377.378974013	9295.21477161	9756.99963519	54.0

82.8999186172	342.881716481	9331.18323149	9756.96486659	55.0

82.5779458645	341.035795374	9333.38592909	9756.99967033	55.0

81.2453965558	309.833808588	9365.88904623	9756.96825138	56.0

81.0439059702	308.271065265	9367.68473077	9756.99970201	56.0

79.8608863571	280.046361914	9397.06405493	9756.9713032	57.0

79.775781281	278.727323055	9398.49662625	9756.99973058	57.0

78.7221738546	253.192362592	9425.05951898	9756.97405543	58.0

78.749744914	252.082783198	9426.16722824	9756.99975636	58.0

77.8085429707	228.977705585	9450.19028946	9756.97653802	59.0

77.9453794244	228.047905024	9451.00649516	9756.99977961	59.0

77.10215183	207.137969169	9472.73865689	9756.97877788	60.0

77.3450724128	206.362246593	9473.2924816	9756.9998006	60.0

76.5875295503	187.435472258	9492.9577974	9756.98079921	61.0

76.933528743	186.791593131	9493.27469767	9756.99981955	61.0

76.2511687054	169.656600037	9511.07485497	9756.98262372	62.0

76.6973752512	169.125345995	9511.17711541	9756.99983665	62.0

76.0811940572	153.609380714	9527.29369617	9756.98427095	63.0

76.624839216	153.174155597	9527.20085729	9756.9998521	63.0

76.0670923982	139.121295015	9541.79737105	9756.98575846	64.0

76.7054859494	138.767780521	9541.52659959	9756.99986606	64.0

76.199491588	126.037299767	9554.75031071	9756.98710206	65.0

76.9300039936	125.753154847	9554.31671982	9756.99987866	65.0

76.4699793563	114.218047299	9566.30028929	9756.98831594	66.0

