5999996.76	1001.81142682	1.43115918117	6001000.00259	0.0

5999993.51413	1003.62613315	2.86491079997	6001000.00518	0.01

5999990.26239	1005.44412493	4.30125954987	6001000.00777	0.02

5999987.00475	1007.26540809	5.74021013285	6001000.01037	0.03

5999983.74122	1009.08998859	7.1817672594	6001000.01298	0.04

5999980.47178	1010.91787238	8.62593564852	6001000.01559	0.05

5999977.19642	1012.74906545	10.0727200277	6001000.0182	0.06

5999973.91512	1014.58357378	11.5221251331	6001000.02082	0.07

5999970.62788	1016.42140336	12.9741557094	6001000.02344	0.08

5999967.33469	1018.2625602	14.4288165096	6001000.02607	0.09

5999964.03554	1020.10705032	15.8861122958	6001000.0287	0.1

5999960.73042	1021.95487974	17.3460478383	6001000.03134	0.11

5999957.4193	1023.80605451	18.8086279162	6001000.03399	0.12

5999954.10219	1025.66058068	20.2738573171	6001000.03663	0.13

5999950.77908	1027.5184643	21.7417408376	6001000.03929	0.14

5999947.44995	1029.37971144	23.2122832825	6001000.04194	0.15

5999944.11479	1031.2443282	24.6854894656	6001000.0446	0.16

5999940.77359	1033.11232066	26.1613642094	6001000.04727	0.17

5999937.42634	1034.98369492	27.639912345	6001000.04994	0.18

5999934.07302	1036.85845711	29.1211387123	6001000.05262	0.19

5999930.71364	1038.73661335	30.60504816	6001000.0553	0.2

5999927.34817	1040.61816978	32.0916455454	6001000.05799	0.21

5999923.97661	1042.50313255	33.5809357347	6001000.06068	0.22

5999920.59894	1044.39150781	35.072923603	6001000.06337	0.23

5999917.21516	1046.28330174	36.5676140341	6001000.06607	0.24

5999913.82525	1048.17852051	38.0650119205	6001000.06878	0.25

5999910.4292	1050.07717034	39.5651221639	6001000.07149	0.26

5999907.027	1051.9792574	41.0679496744	6001000.0742	0.27

5999903.61864	1053.88478794	42.5734993715	6001000.07692	0.28

5999900.20411	1055.79376816	44.0817761831	6001000.07965	0.29

5999896.78339	1057.70620431	45.5927850464	6001000.08238	0.3

5999893.35648	1059.62210264	47.1065309074	6001000.08512	0.31

5999889.92337	1061.5414694	48.6230187208	6001000.08786	0.32

5999886.48404	1063.46431088	50.1422534506	6001000.0906	0.33

5999883.03848	1065.39063335	51.6642400697	6001000.09335	0.34

5999879.58668	1067.32044311	53.1889835598	6001000.0961	0.35

5999876.12863	1069.25374646	54.7164889119	6001000.09886	0.36

5999872.66432	1071.19054972	56.2467611258	6001000.10163	0.37

5999869.19374	1073.13085923	57.7798052104	6001000.1044	0.38

5999865.71687	1075.07468131	59.3156261837	6001000.10717	0.39

5999862.2337	1077.02202232	60.8542290728	6001000.10995	0.4

5999858.74423	1078.97288863	62.3956189137	6001000.11274	0.41

5999855.24844	1080.92728661	63.9398007517	6001000.11553	0.42

5999851.74632	1082.88522265	65.4867796412	6001000.11832	0.43

5999848.23786	1084.84670314	67.0365606457	6001000.12112	0.44

5999844.72305	1086.81173449	68.5891488378	6001000.12393	0.45

5999841.20187	1088.78032312	70.1445492994	6001000.12674	0.46

5999837.67431	1090.75247547	71.7027671215	6001000.12955	0.47

5999834.14037	1092.72819797	73.2638074043	6001000.13238	0.48

5999830.60003	1094.70749709	74.8276752573	6001000.1352	0.49

