S	I	R	Total	Time
140.053635983	588.941311898	2740.00449174	3468.99943962	46.0

136.168166943	536.563967772	2796.21383352	3468.94596823	47.0

127.679841763	539.035257173	2802.28438667	3468.99948561	47.0

124.434953426	490.800385827	2853.71507549	3468.95041474	48.0

117.553867654	492.845629572	2858.6000313	3468.99952853	48.0

114.820007812	448.522538547	2905.61201526	3468.95456162	49.0

109.27260214	450.235743178	2909.49122309	3468.99956841	49.0

106.949169243	409.57923977	2952.43000314	3468.95841215	50.0

102.5100555	411.031454086	2955.45809574	3468.99960533	50.0

100.518686898	373.79178931	2994.65149849	3468.96197469	51.0

97.0018892398	375.036895847	2996.96085431	3468.99963939	51.0

95.2813060709	340.966731336	3032.71722365	3468.96526105	52.0

92.5331167004	342.045778951	3034.4207751	3468.99967076	52.0

91.0351771716	310.904929945	3067.02817812	3468.96828524	53.0

88.9283378706	311.849365148	3068.22199655	3468.99969957	53.0

87.6150206768	283.407900492	3097.94814137	3468.97106254	54.0

86.0439861999	284.241972665	3098.71376712	3468.99972598	54.0

84.885085976	258.282114082	3125.80640879	3468.97360885	55.0

83.7621666707	259.02466396	3126.21291955	3468.99975018	55.0

82.733532671	235.341818007	3150.90058945	3468.97594013	56.0

81.9857499975	236.007607342	3151.00641497	3468.99977231	56.0

81.0679384519	214.410779402	3173.49935422	3468.97807207	57.0

80.6344579751	215.011480144	3173.35385441	3468.99979253	57.0

79.8116992419	195.323255645	3193.84506496	3468.98001985	58.0

79.6417313991	195.868186873	3193.48989271	3468.99981099	58.0

78.9011366999	177.924416432	3212.15624484	3468.98179797	59.0

78.9522167677	178.42109452	3211.62651654	3468.99982783	59.0

78.2831674047	162.070383241	3228.62986949	3468.98342013	60.0

78.5197432535	162.524933806	3227.95516613	3468.99984319	60.0

77.913418991	147.628007702	3243.44347253	3468.98489922	61.0

78.3056890781	148.045475178	3242.64869293	3468.99985718	61.0

77.7547028281	134.474477395	3256.75706703	3468.98624725	62.0

78.2776580306	134.859058704	3255.8631532	3468.99986994	62.0

77.7757719001	122.496813157	3268.71489033	3468.98747538	63.0

78.4084037397	122.852035016	3267.7394428	3468.99988155	63.0

77.9503074842	111.591303933	3279.44698254	3468.98859396	64.0

78.6749524747	111.920158182	3278.40478148	3468.99989213	64.0

78.2560899348	101.662911834	3289.07061074	3468.98961251	65.0

79.0578855399	101.967959427	3287.9740568	3468.99990176	65.0

78.674318067	92.624670318	3297.69155142	3468.9905398	66.0

79.5407503789	92.9081218192	3296.55103833	3468.99991053	66.0

79.1890488526	84.3970912324	3305.40524382	3468.9913839	67.0

80.1095758163	84.6608696166	3304.22947308	3468.99991851	67.0

