S	I	R	Total	Time
28.2581395524	191.958387561	4275.76333684	4495.97986395	52.0

28.0049865554	192.341498596	4275.65332475	4495.99980991	52.0

27.7495528312	174.272029711	4293.96013447	4495.98171701	53.0

27.6019628017	174.631775822	4293.76608877	4495.9998274	53.0

27.373292342	158.222959443	4310.38714776	4495.98339954	54.0

27.3206506879	158.561929409	4310.11726318	4495.99984328	54.0

27.1150624507	143.661136658	4325.20872783	4495.98492694	55.0

27.1484046308	143.981405829	4324.87004723	4495.99985769	55.0

26.9628352059	130.449754488	4338.57372361	4495.9863133	56.0

27.0745289298	130.752995227	4338.17234662	4495.99987077	56.0

26.9064153247	118.464190745	4350.61696542	4495.98757149	57.0

27.0899091511	118.751760614	4350.15821288	4495.99988265	57.0

26.9370959369	107.591015907	4361.46060141	4495.98871325	58.0

27.1867197547	107.864027884	4360.94914578	4495.99989342	58.0

27.0473850767	97.7270613575	4371.21530285	4495.98974929	59.0

27.3581912654	97.9864395021	4370.65527243	4495.99990319	59.0

27.2307875604	88.7785491999	4379.98135259	4495.99068935	60.0

27.5984241491	89.025072575	4379.37641534	4495.99991206	60.0

27.4816304002	80.6602833171	4387.8496286	4495.99154232	61.0

27.9022394732	80.8946204262	4387.20306021	4495.99992011	61.0

27.7949225705	73.2949002163	4394.90249346	4495.99231625	62.0

28.2650586463	73.5176358167	4394.21723295	4495.99992741	62.0

28.1662419765	66.6121774274	4401.21459909	4495.99301849	63.0

28.6828062302	66.8238332318	4400.49329458	4495.99993404	63.0

28.5916440365	60.5483967317	4406.85361493	4495.9936557	64.0

29.1518311188	60.7494472341	4406.0986617	4495.99994005	64.0

29.0675874891	55.0457592043	4411.88088723	4495.99423392	65.0

29.6688423819	55.2366436381	4411.09445949	4495.99994551	65.0

29.5908739677	50.0518489024	4416.35203579	4495.99475866	66.0

30.2308568529	50.2329801468	4415.53611346	4495.99995046	66.0

30.1585986092	45.5191419818	4420.3174943	4495.99523489	67.0

30.8351561466	45.6909130798	4419.47388573	4495.99995495	67.0

30.7681095257	41.4045580547	4423.82299956	4495.99566714	68.0

31.4792512667	41.5673468776	4422.95336089	4495.99995903	68.0

31.4169744153	37.6690506799	4426.91003441	4495.9960595	69.0

32.1608533373	37.8232231664	4426.01588623	4495.99996274	69.0

32.1029529322	34.2772339935	4429.61622878	4495.9964157	70.0

32.8778492868	34.4231463078	4428.69897051	4495.9999661	70.0

32.8239737173	31.1970426302	4431.97572276	4495.99673911	71.0

