S	I	R	Total	Time
5528.88301011	4.13998628028	1.97701277961	5535.00000917	29.0

5527.54685456	4.83672807424	2.61741864308	5535.00100128	30.0

5525.57102688	6.27296056199	3.15602641013	5535.00001385	30.0

5523.54800021	7.3272306022	4.12628171755	5535.00151253	31.0

5520.89069521	9.20358242579	4.90574261175	5535.00002025	31.0

5517.9257147	10.7474085918	6.32908646258	5535.00220975	32.0

5514.58728763	13.0032970976	7.40944374008	5535.00002846	32.0

5510.40421958	15.1788440761	9.4200409296	5535.00310458	33.0

5506.44680423	17.7051388985	10.8480953814	5535.00003851	33.0

5500.76171059	20.6574456431	13.5850410218	5535.00419725	34.0

5496.25917524	23.3495073463	15.3913678098	5535.0000504	34.0

5488.77898022	27.2267463998	18.9997606178	5535.00548724	35.0

5483.7828994	30.0151728587	21.2019919187	5535.00006418	35.0

5474.19443407	34.9737662992	25.8387793952	5535.00697976	36.0

5468.72443283	37.8283011951	28.4473459616	5535.00007999	36.0

5456.6811586	44.038999647	34.2885281526	5535.0086864	37.0

5450.73789948	46.9509342545	37.3112642174	5535.00009796	37.0

5435.8510644	54.6022859396	44.5572702276	5535.01062057	38.0

5429.44009178	57.5593567836	48.0006696377	5535.0001182	38.0

5411.27759473	66.8568545665	56.8783413577	5535.01279065	39.0

5404.42385719	69.8304142548	60.7458692887	5535.00014074	39.0

5382.51428784	80.9926275102	71.5082798181	5535.01519517	40.0

5375.25720671	83.9446163709	75.798342414	5535.0001655	40.0

5349.09386121	97.1989286027	88.7250316622	5535.01782148	41.0

5341.47231666	100.097096299	93.4307793514	5535.00019231	41.0

5310.51501007	115.676036465	108.829599049	5535.02064559	42.0

5302.55572582	118.503837763	113.940657321	5535.0002209	42.0

5266.2322516	136.640906442	132.150472246	5535.02363028	43.0

5257.94621327	139.398599353	137.6554382	5535.00025082	43.0

5215.65663168	160.321857254	159.048232059	5535.02672099	44.0

5207.04152177	163.021911908	164.936847773	5535.00028145	44.0

5158.16782	186.944013466	189.918006937	5535.02984041	45.0

5149.2132763	189.604564437	196.182471138	5535.00031188	45.0

5093.1359058	216.708568448	225.188409001	5535.03288325	46.0

5083.8294705	219.347142793	231.823727605	5535.0003409	46.0

5019.95140624	249.768029644	265.316276592	5535.03571248	47.0

5010.28411495	252.396479223	272.319772834	5535.000367	47.0

4938.06233368	286.198890978	310.776933738	5535.0381584	48.0

4928.0334167	288.819850179	318.147121458	5535.00038834	48.0

4847.01685616	325.973239946	362.049925704	5535.04002181	49.0

4836.6371946	328.578228273	369.784979931	5535.00040281	49.0

4746.50924731	368.931374206	419.60046108	5535.0410826	50.0

4735.80340022	371.500481354	427.696526605	5535.00040818	50.0

4636.42589083	414.758099276	483.857124119	5535.04111423	51.0

4625.43278161	417.260943763	492.306676874	5535.00040225	51.0

4516.88734952	462.965764871	555.186789529	5535.03990392	52.0

4505.65988332	465.363290641	563.977209119	5535.00038308	52.0

4388.28194019	512.887275784	633.868061077	5535.03727705	53.0

4376.88573061	515.13410194	642.980516694	5535.00034925	53.0

4251.28589454	563.682252933	720.064975277	5535.03312275	54.0

4239.79700915	565.729584783	729.473706124	5535.00030006	54.0

4106.86537218	614.35891451	813.803130031	5535.02741672	55.0

4095.36693597	616.158090102	823.475209721	5535.00023579	55.0

3956.25691465	663.812650298	914.950671567	5535.02023652	56.0

3944.83474848	665.319075198	924.846334082	5535.00015775	56.0

3800.92561358	710.879657028	1023.20649488	5535.01176549	57.0

3789.6635465	712.056490991	1033.28003079	5535.00006828	57.0

3642.50367766	754.401129543	1138.09747575	5535.00228296	58.0

3631.47931772	755.222047187	1148.29860564	5534.99997054	58.0

3482.71513126	793.29136725	1258.98564298	5534.99214149	59.0

3471.99663533	793.742035153	1269.2611978	5534.99986828	59.0

3323.29429338	826.602317916	1385.08512329	5534.98173459	60.0

3312.93831002	826.680615486	1395.38083996	5534.99976547	60.0

3165.90625177	853.577560482	1515.48764805	5534.9714603	61.0

3155.95695292	853.292799813	1525.74991319	5534.99966592	61.0

3012.07683385	873.690300922	1649.19455187	5534.96168664	62.0

3002.56584377	873.061758493	1659.37197074	5534.99957301	62.0

2863.13780486	886.66229327	1785.152626	5534.95272413	63.0

2854.08481587	885.717335231	1795.19733834	5534.99948944	63.0

2720.19057156	892.46325598	1922.29098078	5534.94480833	64.0

2711.60444943	891.23528496	1932.15968274	5534.99941713	64.0

2584.08904745	891.292819479	2059.55622627	5534.9380932	65.0

2575.96924922	889.819220519	2069.21088746	5534.99935719	65.0

2455.44003913	883.548876201	2195.94373874	5534.93265407	66.0

2447.77818855	881.869095673	2205.35202577	5534.99931	66.0

2334.61789358	869.787170426	2330.5234334	5534.92849741	67.0

2327.3993853	867.941022091	2339.65886791	5534.9992753	67.0

2221.78933247	850.677057365	2462.45918474	5534.92557458	68.0

2214.99486499	848.703312832	2471.30107459	5534.99925241	68.0

2116.94432565	826.957759759	2591.0217114	5534.92379681	69.0

2110.55129328	824.893047532	2599.55489947	5534.99924029	69.0

2019.92932663	799.39842869	2715.59529403	5534.92304935	70.0

2013.91302909	797.276438483	2723.80977013	5534.99923771	70.0

1930.47997311	768.764148129	2835.67908235	5534.92320359	71.0

1924.81462521	766.615116553	2843.56950161	5534.99924337	71.0

1848.25123208	735.788925786	2950.88396884	5534.92412671	72.0

1842.91077466	733.639366233	2958.44911508	5534.99925597	72.0

1772.8437878	701.155818268	3060.92608259	5534.92568865	73.0

1767.80251374	699.028451182	3068.16830932	5534.99927425	73.0

1703.82614484	665.483699674	3165.61792247	5534.92776698	74.0

1699.0591616	663.39753818	3172.54259727	5534.99929705	74.0

1640.75241478	629.319793858	3264.85804107	5534.93024972	75.0

1636.23596824	627.290342355	3271.47301273	5534.99932333	75.0

1583.17608155	593.136911313	3358.62004404	5534.93303691	76.0

1578.88776641	591.176439714	3364.93514602	5534.99935215	76.0

1530.66022391	557.334307865	3446.94150928	5534.93604105	77.0

1526.5791043	555.452170338	3452.96810808	5534.99938271	77.0

1482.78475043	522.241160351	3529.91327613	5534.93918691	78.0

1478.89141158	520.444133888	3535.66386887	5534.99941434	78.0

1439.15120512	488.121789012	3607.66941668	5534.94241082	79.0

1435.42775401	486.414413182	3613.15727926	5534.99944645	79.0

1399.38566098	455.181913421	3680.37808536	5534.94565976	80.0

1395.81569042	453.566817998	3685.61697016	5534.99947858	80.0

1363.14015391	423.575385579	3748.23335086	5534.94889035	81.0

1359.70868176	422.053597176	3753.2372314	5534.99951033	81.0

1330.09303713	393.410986676	3811.44804387	5534.95206768	82.0

1326.78642956	391.982209033	3816.23090281	5534.99954141	82.0

1299.94856454	364.75899617	3870.24760357	5534.95516428	83.0

1296.75445023	363.421861471	3874.82325987	5534.99957157	83.0

1272.43594657	337.657341401	3924.86487113	5534.9581591	84.0

1269.34312676	336.409631957	3929.24684193	5534.99960064	84.0

1247.30806606	312.117213656	3975.53575683	5534.96103655	85.0

1244.306424	310.956054663	3979.73714982	5534.99962848	85.0

1224.33999489	288.12809497	4022.49569577	5534.96378563	86.0

1221.42040727	287.050119983	4026.52912776	5534.99965501	86.0

1203.32741468	265.662182054	4065.9768025	5534.96639923	87.0

1200.48166651	264.663673334	4069.85434033	5534.99968018	87.0

1184.0850151	244.67822272	4106.20563555	5534.96887337	88.0

1181.30571919	243.755228893	4109.93875587	5534.99970395	88.0

1166.44492081	225.124798938	4143.40148693	5534.97120668	89.0

1163.72544228	224.273232488	4147.00105157	5534.99972633	89.0

1150.25518047	206.943101742	4177.77511762	5534.97339983	90.0

1147.58956662	206.158818808	4181.25136191	5534.99974734	90.0

1135.37833884	190.069248706	4209.52786761	5534.97545516	91.0

1132.7612544	189.348113513	4212.89039908	5534.99976699	91.0

1121.69010353	174.436196196	4238.85107652	5534.97737625	92.0

1119.11677107	173.774132282	4242.10888199	5534.99978534	92.0

1109.07811143	159.975297515	4265.9257587	5534.97916764	93.0

1106.54425686	159.368327706	4269.08721786	5534.99980243	93.0

1097.44079525	146.617555196	4290.92248412	5534.98083456	94.0

1094.94259805	146.061832056	4293.99538821	5534.99981832	94.0

1086.68634766	134.294611851	4314.00142321	5534.98238272	95.0

1084.22039552	133.786440154	4316.99299739	5534.99983306	95.0

1076.73177841	122.939519705	4335.31252	5534.98381812	96.0

1074.29502606	122.475372258	4338.22944839	5534.99984672	96.0

1067.50205879	112.487324454	4354.99576368	5534.98514692	97.0

1065.09179067	112.063852429	4357.84421626	5534.99985935	97.0

1058.92934712	102.875494732	4373.18153346	5534.98637532	98.0

1056.54314355	102.48953351	4375.96719396	5534.99987102	98.0

1050.95228895	94.0442243504	4389.99099618	5534.98750947	99.0

1048.58799559	93.692795734	4392.71909046	5534.99988179	99.0

1043.51538531	85.93663069	4405.53653941	5534.98855541	100.0

1041.17108558	85.616942197	4408.21186394	5534.99989172	100.0

1036.56842319	78.4988691572	4419.92222665	5534.98951899	101.0

1034.24241339	78.2083110296	4422.54917644	5534.99990086	101.0

1030.06596212	71.6801805992	4433.24426314	5534.99040585	102.0

1027.75672906	71.4163210342	4435.82685917	5534.99990927	102.0

1023.96687171	65.4328858572	4445.59146384	5534.9912214	103.0

1021.67307258	65.1934649013	4448.13337951	5534.99991699	103.0

1018.23391498	59.7123393077	4457.04571648	5534.99197077	104.0

1015.95435925	59.4952617749	4459.55030307	5534.99992409	104.0

1012.83337304	54.4768512142	4467.68243459	5534.99265885	105.0

1010.56700621	54.2801789295	4470.15274547	5534.99993061	105.0

1007.73470686	49.6875869817	4477.57099638	5534.99329022	106.0

1005.48059592	49.5095305969	4480.00981007	5534.99993659	106.0

1002.91025248	45.3084499286	4486.7751668	5534.99386921	107.0

1000.66757283	45.1473605099	4489.18500872	5534.99994207	107.0

998.334946297	41.3059529414	4495.35350063	5534.99439987	108.0

996.102970063	41.1603134937	4497.73666353	5534.99994709	108.0

993.98607721	37.6490833299	4503.35972544	5534.99488598	109.0

991.764162755	37.5175003827	4505.71828855	5534.99995169	109.0

989.843063097	34.309164316	4510.84310366	5534.99533108	110.0

987.630645654	34.190359674	4513.17895057	5534.9999559	110.0

985.887249031	31.2597158607	4517.84877355	5534.99573844	111.0

983.683832312	31.152518595	4520.16360884	5534.99995975	111.0

982.101725106	28.4763169264	4524.41806909	5534.99611112	112.0

979.906873798	28.3796556636	4526.71343381	5534.99996327	112.0

978.471161857	25.936470771	4530.58881931	5534.99645194	113.0

976.284494912	25.8493663204	4532.86610526	5534.99996649	113.0

974.981661547	23.619474463	4536.39562751	5534.99676352	114.0

972.802846182	23.5410328102	4538.65609045	5534.99996944	114.0

971.620623709	21.5062934734	4541.8701311	5534.99704828	115.0

969.449370041	21.4356991552	4544.11490293	5534.99997213	115.0

968.376623549	19.579441931	4547.04124297	5534.99730845	116.0

966.212679803	19.5159517998	4549.27134298	5534.99997459	116.0

965.239301925	17.8228689122	4551.93537524	5534.99754608	117.0

963.082450146	17.7658062903	4554.1517204	5534.99997683	117.0

