S	I	R	Total	Time
11489.5627162	497.289326404	103.14960192	12090.0016446	18.0

11131.7819339	791.69568012	166.703380265	12090.1809942	19.0

11084.3772473	829.635213822	175.989399341	12090.0018604	19.0

10521.3841783	1288.1045668	280.674039408	12090.1627845	20.0

10457.2584443	1338.49380916	294.248735258	12090.0009887	20.0

9628.78690097	2001.26539978	459.920640723	12089.9729415	21.0

9549.65971103	2061.63862908	478.699331428	12089.9976715	21.0

8437.27276595	2925.10182659	727.100715639	12089.4753082	22.0

8350.25991085	2988.33316032	751.397835092	12089.9909063	22.0

7019.01437611	3970.22644339	1099.41598901	12088.6568085	23.0

6935.15434758	4026.21949451	1128.60804489	12089.981887	23.0

5535.25138267	4972.54766693	1579.97717732	12087.7762269	24.0

5464.65207231	5012.7823324	1612.53996794	12089.9743726	24.0

4168.99139376	5764.42692091	2153.81133685	12087.2296515	25.0

4116.39165869	5785.78805552	2187.79192556	12089.9716398	25.0

3041.86449328	6252.9763172	2792.3571155	12087.197926	26.0

3006.3021027	6257.70341803	2825.96813278	12089.9736535	26.0

2185.31950419	6439.19227068	3463.03083221	12087.5426071	27.0

2162.88590922	6432.08431851	3495.00785699	12089.9780847	27.0

1567.92172116	6382.78618601	4137.30960343	12088.0175106	28.0

1554.4233546	6368.60551137	4166.95389594	12089.9827619	28.0

1135.25079486	6158.94610676	4794.2597455	12088.4566471	29.0

1127.41404115	6141.26779175	4821.30481432	12089.9866472	29.0

835.051438637	5833.27617616	5420.47340132	12088.8010161	30.0

830.669418928	5814.39955608	5444.92057414	12089.9895492	30.0

626.334029853	5454.25832415	6008.45987031	12089.0522243	31.0

624.0235759	5435.51752925	6030.4505246	12089.9916297	31.0

479.840907585	5054.54401401	6554.84664874	12089.2315703	32.0

478.764105235	5036.64745889	6574.58155338	12089.9931175	32.0

375.610562961	4654.82884826	7058.92135654	12089.3607678	33.0

375.266128795	4638.11202978	7076.61604434	12089.9942029	33.0

300.278750088	4267.58046366	7521.59712444	12089.4563382	34.0

300.367052382	4252.16810586	7537.45986218	12089.9950204	34.0

244.933825929	3899.87000659	7944.72567549	12089.529508	35.0

245.274907847	3885.77264264	7958.94810798	12089.9956585	35.0

203.605927286	3555.32412974	8330.6574825	12089.5875395	36.0

204.091009934	3542.49334088	8343.41182274	12089.9961736	36.0

172.257665827	3235.4110164	8681.96636748	12089.6350497	37.0

172.820662539	3223.77024648	8693.40569252	12089.9966015	37.0

148.125001786	2940.26979983	9001.28017679	12089.6749784	38.0

148.725730126	2929.73121693	9011.54001836	12089.9969654	38.0

129.289760558	2669.24055865	9291.17890577	12089.709225	39.0

129.90395616	2659.71408788	9300.3792362	12089.9972802	39.0

114.40184933	2421.20174356	9554.13545367	12089.7390466	40.0

115.015150917	2412.59975291	9562.38265228	12089.9975561	40.0

102.497483963	2194.78456781	9792.48325006	12089.7653018	41.0

103.101758848	2187.02415948	9799.87188176	12089.9978001	41.0

92.8790593596	1988.50876799	10008.4007717	12089.788599	42.0

93.4701255607	1981.51276244	10015.0151293	12089.9980173	42.0

85.0348404533	1800.86793163	10203.9066139	12089.809386	43.0

85.6110339683	1794.56514811	10209.8220294	12089.9982115	43.0

78.5846096537	1630.38231944	10380.8610761	12089.8280052	44.0

79.1458707344	1624.70748722	10386.1450278	12089.9983857	44.0

73.2424150546	1475.6306411	10540.9716719	12089.844728	45.0

73.7896979438	1470.52412575	10545.6847187	12089.9985424	45.0

68.7907158123	1335.26816225	10685.8008981	12089.8597761	46.0

69.325603024	1330.67560805	10689.9974724	12089.9986834	46.0

65.062214472	1208.03593142	10816.7751893	12089.8733351	47.0

65.5866622428	1203.90787455	10820.5042738	12089.9988106	47.0

61.9269363319	1092.76425998	10935.1943674	12089.8855637	48.0

62.4431053252	1089.05574158	10938.5000785	12089.9989254	48.0

59.2829330607	988.372520323	11042.241146	12089.8965994	49.0

59.7930751869	985.0427139	11045.1632399	12089.9990289	49.0

57.049518841	893.866631452	11138.9904127	12089.906563	50.0

57.5559014598	890.878491735	11141.5647293	12089.9991225	50.0

55.1622961821	808.335143755	11226.4181215	12089.9155615	51.0

55.6671514886	805.655079613	11228.6769759	12089.999207	51.0

53.5694602649	730.944531099	11305.4096986	12089.9236899	52.0

54.0749518192	728.542102952	11307.3822285	12089.9992833	52.0

52.2290262685	660.934095092	11376.7679122	12089.9310336	53.0

52.73722731	658.78173613	11378.4803888	12089.9993522	53.0

51.1067297392	597.610749446	11441.2201895	12089.9376687	54.0

51.6196096711	595.683509435	11442.6962954	12089.9994145	54.0

50.1744225008	540.343859429	11499.4253822	12089.9436641	55.0

50.6938390843	538.619169648	11500.6864621	12089.9994708	55.0

49.4088368086	488.560248123	11551.9799968	12089.9490817	56.0

49.936532371	487.01770593	11553.0452834	12089.9995217	56.0

48.7906255855	441.739437944	11599.4239137	12089.9539772	57.0

49.328226061	440.360609518	11600.3107321	12089.9995677	57.0

48.3036114061	399.40916642	11642.2456232	12089.958401	58.0

48.8526273808	398.177406277	11642.9695756	12089.9996092	58.0

47.9341946066	361.141195065	11680.8870089	12089.9623986	59.0

48.496023775	360.041481054	11681.4621419	12089.9996468	59.0

47.670883637	326.547416694	11715.7477107	12089.966011	60.0

48.2468142471	325.566199242	11716.1866672	12089.9996807	60.0

47.5039200235	295.276257441	11747.1890979	12089.9692754	61.0

48.095134999	294.401321931	11747.5032544	12089.9997114	61.0

47.4249770728	267.009363893	11775.5378843	12089.9722253	62.0

48.0325585873	266.229705121	11775.7374753	12089.9997391	62.0

47.4269164469	241.458562095	11801.0894125	12089.974891	63.0

48.0518507786	240.764269828	11801.1836435	12089.9997641	63.0

47.5035904418	218.363073015	11824.1106365	12089.9772999	64.0

48.1467729834	217.745227759	11824.107786	12089.9997867	64.0

47.6496805859	197.486968045	11844.8428282	12089.9794768	65.0

48.3119209122	196.937546178	11844.7503401	12089.9998072	65.0

47.8605652678	178.616847726	11863.5040311	12089.9814441	66.0

48.5425921887	178.128635223	11863.3285982	12089.9998256	66.0

48.1322106931	161.5597271	11880.2912841	12089.9832219	67.0

48.8346772361	161.126241134	11880.038924	12089.9998423	67.0

48.4610806892	146.141111552	11895.3826363	12089.9848285	68.0

49.1845689681	145.756529303	11895.0587592	12089.9998574	68.0

